user_id,average_tweets_daily,average_retweets_daily,average_hashtags,average_urls,average_followers,right_partiality,left_partiality,polarity,subjectivity,average_tweet_size,label,date
SHEENA_OTT,0.7724550898203593,0.005988023952095809,0.5538461538461539,0.3,1.7076923076923076,0.007692307692307693,0.023076923076923078,0.10282831057831059,0.3480129037629038,64.5923076923077,RightTroll,2015-11-15 00:00:00
SHEENA_RING,0.22580645161290322,0.10215053763440861,1.0,0.5573770491803278,53.75409836065574,0.0,0.0,0.12889344262295083,0.41218123861566486,67.88524590163935,Fearmonger,2015-11-26 00:00:00
SHEILA_SHH,0.17204301075268819,0.010752688172043012,0.14705882352941177,0.6470588235294118,53.26470588235294,0.058823529411764705,0.0,0.1683249578240387,0.46421250318309143,53.73529411764706,Fearmonger,2015-11-26 00:00:00
SHERLYMONMONC,0.4583333333333333,0.09090909090909091,0.9517241379310345,0.20689655172413793,57.110344827586204,0.041379310344827586,0.06896551724137931,0.1008212419764144,0.31035072398865504,68.41379310344827,RightTroll,2016-01-29 00:00:00
SHERMAN_CN,0.23316062176165803,0.010362694300518135,3.021276595744681,0.7659574468085106,49.12765957446808,0.02127659574468085,0.0,0.036594478216818646,0.2543515704154002,89.27659574468085,Fearmonger,2015-11-26 00:00:00
SHERMUELLER,0.05343511450381679,0.04580152671755725,1.4230769230769231,0.34615384615384615,60.84615384615385,0.038461538461538464,0.07692307692307693,0.14234376734376733,0.3156211843711843,93.26923076923077,RightTroll,2016-01-29 00:00:00
SHIELDSCLINT,0.0,106.0,1.990566037735849,0.03773584905660377,140.0,0.09433962264150944,0.0,0.020105536497045932,0.1846272700046285,80.54716981132076,RightTroll,2016-01-29 00:00:00
SHINEPHILLIPS,10.76923076923077,1.5384615384615385,2.01875,0.28125,25.0,0.025,0.025,0.007335294913419913,0.28431824945887446,78.11875,Fearmonger,2015-11-15 00:00:00
SICCERTHANYOU,0.3194444444444444,5.35,0.7045565899069084,0.9299363057324841,737.0803527682508,0.024987751102400785,0.04164625183733464,0.07290291526856016,0.29872015997888735,102.33414992650661,LeftTroll,2016-01-01 00:00:00
SIENNASMM,0.7647058823529411,0.0481283422459893,0.9802631578947368,0.5328947368421053,50.88157894736842,0.019736842105263157,0.006578947368421052,0.06645623810354484,0.4204829308118782,67.52631578947368,Fearmonger,2015-11-26 00:00:00
SINCEREPRUITT,0.5593495934959349,1.4422764227642277,0.6246953696181966,0.6904955320877335,303.2152721364744,0.043866774979691305,0.04955320877335499,0.06235514648861938,0.28805464047340573,96.51259138911455,LeftTroll,2016-01-10 00:00:00
SKWAD55_LABEL,1.2804232804232805,0.17989417989417988,3.449275362318841,1.0615942028985508,748.2246376811594,0.010869565217391304,0.021739130434782608,0.13072350053328313,0.3866402159971,92.22463768115942,LeftTroll,2017-01-11 00:00:00
SKYYLASRRT,3.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0375,0.2833333333333334,102.66666666666667,RightTroll,2017-07-22 00:00:00
SM_DOWNEY,0.16666666666666666,0.18,1.2115384615384615,0.3076923076923077,81.17307692307692,0.0,0.0,0.08428418803418804,0.2675396825396825,74.28846153846153,RightTroll,2015-10-08 00:00:00
SOFIATACKLES,0.40625,0.390625,1.7843137254901962,0.09803921568627451,80.84313725490196,0.058823529411764705,0.0,-0.04533960048665931,0.3080274028803441,85.92156862745098,LeftTroll,2016-01-29 00:00:00
SOLANO_KI,0.5026737967914439,0.10695187165775401,2.1140350877192984,0.37719298245614036,30.92982456140351,0.02631578947368421,0.017543859649122806,0.06631073422191844,0.37327434748487376,81.28070175438596,Fearmonger,2015-11-15 00:00:00
SONJAANDBRIDGES,0.012987012987012988,0.14285714285714285,1.75,0.08333333333333333,58.5,0.0,0.0,0.009722222222222235,0.27777777777777773,93.91666666666667,LeftTroll,2015-10-24 00:00:00
SOPHIEKOLE,0.09975669099756691,0.3284671532846715,1.1420454545454546,0.3125,419.71022727272725,0.017045454545454544,0.022727272727272728,0.08958549407768157,0.2230568332130832,68.57386363636364,HashtagGamer,2016-01-25 00:00:00
SOSEANBEARD,0.014084507042253521,0.056338028169014086,1.2,0.8,77.0,0.0,0.0,-0.05428571428571427,0.4428571428571429,91.8,RightTroll,2015-07-11 00:00:00
SOUND4BOYZ,0.30569948186528495,0.12953367875647667,2.1547619047619047,0.5238095238095238,47.785714285714285,0.0,0.023809523809523808,0.0200754354772212,0.31368564471243043,81.5,Fearmonger,2015-10-17 00:00:00
SOUTHLONESTAR,6.3498168498168495,0.3498168498168498,0.7195188627665391,0.8285948605795517,20559.607709130672,0.1014215418261345,0.17987971569163477,0.03278758902852133,0.3519917834439333,110.42536905412794,RightTroll,2017-01-01 00:00:00
SOUTHLONESTAR2,4.5,0.0,0.37777777777777777,0.5555555555555556,8665.2,0.06666666666666667,0.2,-0.01756084656084656,0.31210449735449736,112.64444444444445,RightTroll,2017-08-13 00:00:00
SPECIALAFFAIR,34.560509554140125,0.0,0.988696400049146,0.26268583364049636,10592.93374493181,0.020426342302494165,0.054244993242413074,0.002783045749392198,0.16434831449088036,74.94381987959208,NewsFeed,2016-01-01 00:00:00
SPENDING_GOV,28.0,0.0,5.107142857142857,0.9285714285714286,55.142857142857146,0.07142857142857142,0.0,-0.002353896103896108,0.20639880952380954,101.14285714285714,RightTroll,2016-02-28 00:00:00
SPUNTMELODY,0.3155080213903743,0.0213903743315508,1.9841269841269842,0.4603174603174603,69.71428571428571,0.0,0.031746031746031744,0.13074060712949603,0.4255384533162311,74.2063492063492,Fearmonger,2015-11-11 00:00:00
